redirect_type,redirect_target,old_url
RENAMED,/docs/edge/user-guide/provision-customer/,https://thingsboard.io/docs/edge/config/provision-customer/
RENAMED,/docs/edge/user-guide/provision-dashboard/,https://thingsboard.io/docs/edge/config/provision-dashboard/
RENAMED,/docs/edge/user-guide/provision-entity-view/,https://thingsboard.io/docs/edge/config/provision-entity-view/
RENAMED,/docs/edge/user-guide/provision-user/,https://thingsboard.io/docs/edge/config/provision-user/
RENAMED,/docs/edge/user-guide/queues/,https://thingsboard.io/docs/edge/rule-engine/queues/
RENAMED,/docs/edge/user-guide/rule-chain-templates/,https://thingsboard.io/docs/edge/rule-engine/rule-chain-templates/
RENAMED,/docs/edge/key-concepts/alarms/,https://thingsboard.io/docs/edge/user-guide/alarms/
RENAMED,/docs/iot-gateway/features/provisioning/,https://thingsboard.io/docs/iot-gateway/features-overview/provisioning/
RENAMED,/docs/iot-gateway/features/report-strategy/,https://thingsboard.io/docs/iot-gateway/features-overview/report-strategy/
RENAMED,/docs/iot-gateway/installation/deb-installation/,https://thingsboard.io/docs/iot-gateway/install/deb-installation/
RENAMED,/docs/iot-gateway/installation/docker-installation/,https://thingsboard.io/docs/iot-gateway/install/docker-installation/
RENAMED,/docs/iot-gateway/installation/docker-windows/,https://thingsboard.io/docs/iot-gateway/install/docker-windows/
RENAMED,/docs/iot-gateway/installation/pip-installation/,https://thingsboard.io/docs/iot-gateway/install/pip-installation/
RENAMED,/docs/iot-gateway/installation/rpm-installation/,https://thingsboard.io/docs/iot-gateway/install/rpm-installation/
RENAMED,/docs/iot-gateway/installation/source-installation/,https://thingsboard.io/docs/iot-gateway/install/source-installation/
RENAMED,/docs/iot-gateway/installation/upgrade-instructions/,https://thingsboard.io/docs/iot-gateway/install/upgrade-instructions/
RENAMED,/docs/user-guide/digital-twins/attributes/,https://thingsboard.io/docs/user-guide/attributes/
RENAMED,/docs/user-guide/security/audit-log/,https://thingsboard.io/docs/user-guide/audit-log/
RENAMED,/docs/user-guide/calculated-fields/geofencing/,https://thingsboard.io/docs/user-guide/calculated-fields/geofencing-calculated-field/
RENAMED,/docs/user-guide/calculated-fields/propagation/,https://thingsboard.io/docs/user-guide/calculated-fields/propagation-calculated-field/
